N,Triton,Torch (native),Torch (compiled)
256.0,350.2,357.1,362.1
384.0,376.3,379.9,379.6
512.0,388.9,386.9,392.1
640.0,397.7,397.2,396.2
768.0,402.5,401.3,400.6
896.0,404.5,405.1,404.9
1024.0,406.7,406.1,408.8
1152.0,409.6,407.9,409.3
1280.0,411.9,411.4,410.9
1408.0,411.6,412.2,412.4
1536.0,411.4,413.0,411.7
1664.0,414.9,414.3,414.5
1792.0,415.5,414.7,415.7
1920.0,416.3,416.9,414.9
2048.0,412.7,415.2,416.9
2176.0,416.6,416.5,415.8
2304.0,416.4,417.2,416.6
2432.0,417.8,416.8,416.3
2560.0,417.3,416.8,417.2
2688.0,417.2,418.4,417.8
2816.0,419.1,417.9,417.8
2944.0,418.7,418.1,418.2
3072.0,417.7,418.8,417.3
3200.0,419.3,419.2,420.2
3328.0,418.7,419.4,418.3
3456.0,419.8,420.6,419.9
3584.0,418.8,420.3,419.7
3712.0,420.4,419.7,420.5
3840.0,419.3,420.0,419.9
3968.0,421.0,420.5,420.4
4096.0,416.9,421.0,418.8
4224.0,419.9,420.0,420.2
4352.0,421.0,419.9,421.4
4480.0,421.3,420.8,419.9
4608.0,420.3,421.1,419.9
4736.0,421.3,420.4,420.8
4864.0,421.3,420.2,421.2
4992.0,421.7,421.1,419.8
5120.0,420.7,421.2,421.1
5248.0,421.6,421.3,419.6
5376.0,421.2,420.6,420.1
5504.0,421.0,420.8,420.2
5632.0,421.4,421.0,419.7
5760.0,421.2,421.5,422.1
5888.0,421.1,421.0,420.7
6016.0,421.8,421.9,421.8
6144.0,422.1,421.7,420.0
6272.0,421.9,422.4,422.1
6400.0,421.1,421.5,420.8
6528.0,421.5,421.7,420.6
6656.0,421.1,421.2,420.1
6784.0,421.9,422.1,420.6
6912.0,421.0,421.4,421.4
7040.0,422.7,421.9,421.3
7168.0,421.8,421.7,420.5
7296.0,421.4,422.1,420.6
7424.0,422.1,421.9,421.0
7552.0,421.5,421.5,422.5
7680.0,422.6,421.5,421.0
7808.0,421.6,422.2,421.4
7936.0,421.6,421.2,422.2
8064.0,422.3,421.6,421.2
8192.0,420.3,422.7,422.2
8320.0,422.6,421.5,422.0
8448.0,421.7,421.0,421.8
8576.0,423.0,422.3,421.0
8704.0,422.8,422.2,420.2
8832.0,422.5,423.0,422.0
8960.0,422.1,422.4,422.5
9088.0,423.1,422.4,420.1
9216.0,422.7,422.8,422.5
9344.0,422.4,422.6,421.5
9472.0,423.4,423.1,421.7
9600.0,422.1,421.8,421.4
9728.0,422.2,421.7,421.7
9856.0,422.4,421.7,420.1
9984.0,421.4,421.6,420.5
10112.0,421.8,421.2,420.5
10240.0,422.3,422.4,422.7
10368.0,423.1,422.4,422.2
10496.0,422.7,421.3,420.9
10624.0,422.8,421.9,421.5
10752.0,422.9,422.5,421.7
10880.0,422.2,422.5,421.6
11008.0,422.7,422.2,421.9
11136.0,422.0,421.9,420.8
11264.0,379.3,422.5,422.6
11392.0,422.6,422.6,422.1
11520.0,422.7,422.2,421.5
11648.0,422.3,422.0,422.2
11776.0,421.7,421.7,420.7
11904.0,422.5,421.8,420.6
12032.0,422.1,422.5,422.0
12160.0,422.0,422.7,422.5
12288.0,422.5,422.8,421.9
12416.0,422.7,422.3,421.7
12544.0,423.0,422.6,422.8
12672.0,422.7,422.5,422.1
