N,Triton,Torch (native),Torch (compiled)
256.0,356.2,356.2,372.4
384.0,384.0,384.0,384.0
512.0,390.1,390.1,399.6
640.0,401.6,400.8,401.6
768.0,402.9,402.9,402.9
896.0,409.5,404.0,409.6
1024.0,409.6,409.6,409.6
1152.0,412.8,409.6,409.6
1280.0,413.7,411.1,413.7
1408.0,413.4,413.4,415.7
1536.0,416.5,416.5,413.0
1664.0,416.0,416.0,416.0
1792.0,415.5,415.5,415.5
1920.0,418.0,418.0,418.0
2048.0,414.8,417.4,417.4
2176.0,419.5,419.5,419.5
2304.0,418.9,418.9,418.9
2432.0,420.4,420.7,418.5
2560.0,420.1,418.5,419.2
2688.0,421.0,419.6,419.6
2816.0,420.6,419.1,420.0
2944.0,420.6,420.6,419.5
3072.0,419.7,420.1,420.1
3200.0,421.4,421.4,421.4
3328.0,420.9,420.9,420.9
3456.0,420.6,422.1,421.6
3584.0,421.0,421.6,420.1
3712.0,421.3,422.7,422.6
3840.0,421.8,422.1,421.0
3968.0,420.5,423.3,421.8
4096.0,417.4,421.6,420.1
4224.0,422.4,422.4,422.4
4352.0,423.1,422.3,422.0
4480.0,422.9,422.9,422.9
4608.0,423.7,423.6,421.4
4736.0,423.3,423.3,423.1
4864.0,423.3,423.0,421.8
4992.0,423.7,423.7,422.6
5120.0,423.4,422.8,422.3
5248.0,424.1,424.1,423.2
5376.0,424.6,423.7,422.7
5504.0,424.4,423.4,423.4
5632.0,424.1,423.4,422.1
5760.0,424.2,424.7,423.7
5888.0,423.9,423.4,422.9
6016.0,424.7,423.0,423.1
6144.0,424.6,424.4,423.7
6272.0,424.3,424.3,422.7
6400.0,424.1,424.0,424.0
6528.0,424.6,424.6,423.7
6656.0,425.1,424.3,422.6
6784.0,424.8,424.8,424.8
6912.0,424.5,424.5,423.7
7040.0,425.1,424.5,424.3
7168.0,424.8,424.8,423.0
7296.0,425.3,425.2,424.5
7424.0,425.0,425.0,423.5
7552.0,425.4,425.1,424.7
7680.0,425.2,424.5,424.0
7808.0,424.9,424.9,424.2
7936.0,425.4,424.7,423.3
8064.0,425.1,424.4,423.0
8192.0,423.8,425.5,424.8
8320.0,425.3,425.3,423.9
8448.0,425.7,425.1,423.1
8576.0,425.5,424.8,424.8
8704.0,425.6,425.2,425.2
8832.0,425.6,425.6,424.4
8960.0,425.4,424.8,423.6
9088.0,425.2,424.5,422.1
9216.0,425.5,425.6,425.6
9344.0,425.9,425.9,424.7
9472.0,425.7,425.4,425.1
9600.0,425.9,425.5,424.9
9728.0,425.8,425.3,423.8
9856.0,425.6,425.6,423.6
9984.0,425.9,425.4,424.3
10112.0,424.1,425.1,424.1
10240.0,425.6,425.6,423.9
10368.0,425.9,425.4,424.3
10496.0,425.7,425.2,423.5
10624.0,425.9,425.5,424.6
10752.0,425.8,425.8,425.7
10880.0,426.0,425.6,425.6
11008.0,425.8,425.4,424.9
11136.0,425.7,425.2,423.9
11264.0,425.6,425.1,425.8
11392.0,425.9,425.9,425.2
11520.0,425.7,425.2,423.3
11648.0,424.5,425.5,424.0
11776.0,425.8,426.2,423.9
11904.0,426.1,425.9,425.1
12032.0,425.9,425.9,425.6
12160.0,426.2,425.8,425.0
12288.0,382.2,423.3,423.7
12416.0,425.8,425.8,424.3
12544.0,426.1,426.1,425.7
12672.0,425.9,425.9,423.9
